name,win,loss,nc,draw,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.
Cole Williams,0,1,0,0,"6'0""",170lbs.,"73""",Orthodox,"Dec15,1983",0.77,33%,12.39,13%,0.00,0%,0%,0.0
Jason Witt,0,1,0,0,"5'10""",170lbs.,"70""",Orthodox,"Nov07,1986",2.50,40%,22.50,14%,0.00,0%,0%,0.0
Dustin Jacoby,1,2,0,0,"6'3""",205lbs.,"76""",Orthodox,"Apr04,1988",3.40,46%,2.46,61%,0.30,100%,66%,0.0
Justin Ledet,3,3,0,0,"6'4""",205lbs.,"80""",Orthodox,"Sep28,1988",3.33,39%,4.67,49%,0.24,50%,42%,0.2
Cortney Casey,5,7,0,0,"5'7""",125lbs.,"67""",Orthodox,"May05,1987",4.40,38%,4.31,53%,0.31,30%,37%,0.6
Priscila Cachoeira,1,3,0,0,"5'7""",125lbs.,"65""",Orthodox,"Aug19,1988",3.84,37%,7.93,42%,0.00,0%,69%,0.0
Miles Johns,2,1,0,0,"5'7""",135lbs.,"66""",Orthodox,"Mar30,1994",3.19,49%,2.37,63%,1.64,66%,85%,0.0
Kevin Natividad,0,0,0,0,"5'6""",145lbs.,"70""",Orthodox,"Apr02,1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Khabib Nurmagomedov,13,0,0,0,"5'10""",155lbs.,"70""",Orthodox,"Sep20,1988",4.10,48%,1.75,65%,5.32,48%,84%,0.8
Justin Gaethje,5,3,0,0,"5'11""",155lbs.,"70""",Orthodox,"Nov14,1988",7.46,59%,7.99,55%,0.00,0%,69%,0.0
Robert Whittaker,13,3,0,0,"6'0""",185lbs.,"73""",Orthodox,"Dec20,1990",4.52,40%,3.44,60%,0.43,27%,84%,0.0
Jared Cannonier,6,5,0,0,"5'11""",185lbs.,"77""",Switch,"Mar16,1984",3.70,52%,3.09,64%,0.16,33%,54%,0.0
Alexander Volkov,6,2,0,0,"6'7""",250lbs.,"80""",Orthodox,"Oct24,1988",4.76,58%,2.53,56%,0.69,70%,65%,0.2
Walt Harris,6,8,1,0,"6'5""",250lbs.,"77""",Southpaw,"Jun10,1983",2.95,38%,3.43,54%,0.30,28%,72%,0.1
Phillip Hawes,2,1,0,0,"6'0""",185lbs.,"77""",Orthodox,"Jan08,1989",4.14,49%,4.81,55%,1.68,14%,0%,0.0
Jacob Malkoun,0,1,0,0,"5'9""",185lbs.,"73""",Orthodox,"Aug26,1995",0.00,0%,23.33,36%,0.00,0%,0%,0.0
Lauren Murphy,6,4,0,0,"5'5""",125lbs.,"67""",Orthodox,"Jul27,1983",3.80,38%,3.82,63%,1.18,37%,70%,0.1
Liliya Shakirova,0,1,0,0,"5'4""",125lbs.,"65""",Orthodox,"Oct24,1991",2.70,30%,2.58,74%,0.00,0%,0%,0.0
Magomed Ankalaev,5,1,0,0,"6'3""",205lbs.,"75""",Orthodox,"Jun02,1992",3.58,56%,1.36,68%,0.62,33%,85%,0.0
Ion Cutelaba,4,5,0,0,"6'1""",205lbs.,"75""",Southpaw,"Dec14,1993",5.10,39%,3.37,48%,2.41,71%,80%,0.0
Tai Tuivasa,4,3,0,0,"6'2""",264lbs.,"75""",Southpaw,"Mar16,1993",4.20,49%,3.45,50%,0.00,0%,46%,0.0
Stefan Struve,13,11,0,0,"6'11""",265lbs.,"84""",Orthodox,"Feb18,1988",3.12,47%,4.04,46%,0.56,46%,55%,1.7
Casey Kenney,6,2,0,0,"5'7""",140lbs.,"68""",Southpaw,"Mar20,1991",4.79,43%,4.07,59%,1.25,42%,56%,0.6
Nathaniel Wood,4,2,0,0,"5'6""",140lbs.,"69""",Orthodox,"May08,1993",6.28,46%,4.36,53%,1.29,46%,75%,0.9
Shavkat Rakhmonov,1,0,0,0,"6'1""",170lbs.,"77""",Orthodox,"Oct23,1994",2.79,52%,1.93,50%,0.00,0%,100%,3.2
Alex Oliveira,11,7,1,0,"5'11""",170lbs.,"76""",Orthodox,"Feb21,1988",2.87,50%,2.18,48%,2.41,37%,63%,0.6
Da-Un Jung,2,0,0,1,"6'4""",205lbs.,"78""",Orthodox,"Dec07,1993",5.06,43%,5.38,55%,0.00,0%,83%,0.5
Sam Alvey,10,9,0,1,"6'2""",205lbs.,"75""",Southpaw,"May06,1986",3.17,44%,3.26,55%,0.08,16%,82%,0.1
Miranda Maverick,1,0,0,0,"5'3""",125lbs.,"65""",Southpaw,"Jul01,1997",9.80,51%,6.00,62%,0.00,0%,0%,0.0
Liana Jojua,1,2,0,0,"5'4""",125lbs.,"62""",Orthodox,"Mar22,1995",2.53,39%,4.86,48%,1.49,66%,50%,2.2
Joel Alvarez,3,1,0,0,"6'3""",155lbs.,"77""",Orthodox,"Mar02,1994",2.84,37%,3.31,53%,0.00,0%,0%,1.6
Alexander Yakovlev,3,6,0,0,"6'3""",155lbs.,"74""",Southpaw,"Jul18,1984",1.74,47%,2.41,58%,1.66,35%,72%,0.1
Brian Ortega,7,1,1,0,"5'8""",145lbs.,"69""",Switch,"Feb21,1991",4.29,38%,6.28,52%,0.80,21%,56%,1.1
Chan Sung Jung,6,5,0,0,"5'7""",145lbs.,"72""",Orthodox,"Mar17,1987",4.15,41%,4.01,56%,0.62,41%,75%,0.5
Jessica Andrade,12,6,0,0,"5'1""",115lbs.,"62""",Orthodox,"Sep25,1991",6.38,49%,5.26,53%,3.11,57%,76%,0.4
Katlyn Chookagian,7,4,0,0,"5'9""",125lbs.,"68""",Orthodox,"Dec28,1988",4.18,35%,4.25,62%,0.30,15%,48%,0.5
Jimmy Crute,5,1,0,0,"6'2""",205lbs.,"74""",Orthodox,"Mar04,1996",4.36,57%,2.31,54%,4.33,75%,60%,2.4
Modestas Bukauskas,1,1,0,0,"6'3""",205lbs.,"78""",Switch,"Feb10,1994",3.56,37%,5.70,42%,0.00,0%,100%,0.0
James Krause,9,6,0,0,"6'2""",170lbs.,"73""",Orthodox,"Jun04,1986",4.79,49%,4.11,61%,0.96,18%,59%,0.9
Claudio Silva,5,1,0,0,"5'11""",170lbs.,"71""",Southpaw,"Sep06,1982",3.14,42%,3.12,43%,3.01,28%,66%,1.6
Jonathan Martinez,4,2,0,0,"5'8""",145lbs.,"70""",Southpaw,"Apr20,1994",4.34,46%,3.61,58%,0.53,37%,61%,0.0
Thomas Almeida,5,4,0,0,"5'7""",145lbs.,"70""",Southpaw,"Jul31,1991",5.39,44%,4.69,64%,0.00,0%,75%,0.0
Guram Kutateladze,1,0,0,0,"5'11""",155lbs.,"72""",Orthodox,"Jan08,1992",2.47,43%,3.47,58%,0.00,0%,68%,0.0
Mateusz Gamrot,0,1,0,0,"5'10""",155lbs.,"70""",Southpaw,"Dec11,1990",3.47,41%,2.47,56%,5.00,31%,100%,0.0
Gillian Robertson,6,2,0,0,"5'5""",125lbs.,"63""",Orthodox,"May17,1995",2.39,51%,2.17,54%,3.25,50%,0%,0.9
Poliana Botelho,3,2,0,0,"5'8""",115lbs.,"67""",Orthodox,"Dec15,1988",3.00,56%,3.08,50%,0.89,100%,80%,0.0
Junyong Park,2,1,0,0,"5'10""",185lbs.,"73""",Orthodox,"Feb27,1991",4.24,47%,2.90,59%,3.40,64%,45%,0.0
John Phillips,1,5,0,0,"5'11""",185lbs.,"75""",Southpaw,"Jun09,1985",1.72,34%,4.03,49%,0.00,0%,7%,0.0
Fares Ziam,1,1,0,0,"6'1""",155lbs.,"75""",Orthodox,"Mar21,1997",1.90,47%,1.37,66%,0.50,11%,65%,0.0
Jamie Mullarkey,0,2,0,0,"6'0""",155lbs.,"74""",Orthodox,"Aug17,1994",1.87,33%,4.60,42%,4.00,30%,66%,0.5
Maxim Grishin,1,1,0,0,"6'3""",220lbs.,"78""",Orthodox,"May02,1984",2.08,48%,1.44,52%,0.60,100%,66%,0.0
Gadzhimurad Antigulov,2,4,0,0,"5'11""",205lbs.,"70""",Orthodox,"Feb09,1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4
Said Nurmagomedov,3,1,0,0,"5'8""",135lbs.,"70""",Orthodox,"Apr05,1992",4.65,46%,2.37,60%,0.45,7%,71%,0.0
Mark Striegl,0,1,0,0,"5'8""",135lbs.,"70""",Southpaw,"Jun23,1988",3.53,42%,21.18,25%,0.00,0%,0%,0.0
Cory Sandhagen,6,1,0,0,"5'11""",135lbs.,"70""",Switch,"Apr20,1992",6.88,48%,3.89,59%,1.07,50%,30%,0.5
Marlon Moraes,5,3,0,0,"5'6""",135lbs.,"67""",Orthodox,"Apr26,1988",3.43,38%,3.91,58%,0.64,33%,66%,0.4
Edson Barboza,15,9,0,0,"5'11""",145lbs.,"75""",Orthodox,"Jan21,1986",3.98,43%,4.03,60%,0.44,44%,78%,0.1
Makwan Amirkhani,6,3,0,0,"5'10""",145lbs.,"72""",Southpaw,"Nov08,1988",1.42,44%,2.63,51%,3.37,37%,57%,1.4
Marcin Tybura,7,5,0,0,"6'3""",249lbs.,"78""",Orthodox,"Nov09,1985",3.60,50%,3.13,57%,1.63,47%,82%,0.1
Ben Rothwell,15,8,0,0,"6'4""",265lbs.,"78""",Orthodox,"Oct17,1981",3.55,41%,4.57,46%,0.63,33%,69%,0.3
Dricus Du Plessis,1,0,0,0,"6'1""",185lbs.,"76""",Switch,"Jan14,1994",7.72,44%,4.16,67%,0.00,0%,0%,0.0
Markus Perez,2,4,0,0,"6'1""",185lbs.,"73""",Orthodox,"Jun22,1988",2.83,46%,4.17,52%,1.02,26%,80%,1.0
Tom Aspinall,2,0,0,0,"6'5""",256lbs.,"78""",Orthodox,"Apr11,1993",11.14,74%,2.57,71%,6.43,100%,0%,0.0
Alan Baudot,0,1,0,0,"6'3""",243lbs.,"79""",Orthodox,"Feb01,1988",1.89,25%,10.11,36%,0.00,0%,0%,0.0
Ilia Topuria,1,0,0,0,"5'7""",145lbs.,"69""",Orthodox,"Jan21,1997",0.87,39%,1.13,67%,5.00,55%,100%,5.0
Youssef Zalal,3,1,0,0,"5'10""",145lbs.,"72""",Switch,"Sep04,1996",2.68,51%,1.27,65%,2.25,42%,60%,1.5
Tom Breese,5,2,0,0,"6'3""",185lbs.,"73""",Southpaw,"Sep26,1991",3.77,51%,2.68,63%,0.00,0%,75%,0.3
KB Bhullar,0,1,0,0,"6'4""",185lbs.,"78""",Switch,"Oct12,1991",1.18,13%,10.00,37%,0.00,0%,0%,0.0
Chris Daukaus,2,0,0,0,"6'3""",250lbs.,"76""",Orthodox,"Sep25,1989",9.58,62%,3.45,67%,0.00,0%,0%,0.0
Rodrigo Nascimento,2,1,0,0,"6'2""",246lbs.,"80""",Orthodox,"Nov26,1992",4.23,55%,4.32,42%,2.70,100%,100%,2.7
Joaquin Buckley,1,1,0,0,"5'10""",185lbs.,"76""",Southpaw,"Apr27,1994",3.92,32%,6.09,49%,0.85,25%,0%,0.0
Impa Kasanganay,3,1,0,0,"5'11""",185lbs.,"75""",Orthodox,"Jan17,1994",5.36,49%,3.52,60%,1.44,83%,63%,0.0
Tony Kelley,1,1,0,0,"5'9""",135lbs.,"70""",Switch,"Jan21,1987",4.57,47%,4.77,43%,0.00,0%,50%,2.0
Ali AlQaisi,0,2,0,0,"5'6""",135lbs.,"68""",Orthodox,"Sep23,1990",2.43,42%,1.97,56%,3.50,29%,60%,1.0
Giga Chikadze,4,1,0,0,"6'0""",145lbs.,"74""",Orthodox,"Aug25,1988",3.52,43%,2.76,60%,0.40,40%,65%,0.0
Omar Morales,3,1,0,0,"5'11""",145lbs.,"73""",Orthodox,"Oct17,1985",3.39,34%,2.99,65%,0.29,100%,100%,0.0
Tracy Cortez,3,0,0,0,"5'5""",135lbs.,"65""",Orthodox,"Dec10,1993",3.67,53%,1.98,62%,3.00,42%,85%,0.0
Stephanie Egger,0,1,0,0,"5'6""",135lbs.,"68""",Orthodox,"Aug12,1988",0.67,31%,1.33,52%,1.00,16%,40%,0.0
Tagir Ulanbekov,1,0,0,0,"5'7""",125lbs.,"70""",Southpaw,"Aug07,1991",3.07,37%,3.13,58%,5.00,45%,50%,0.0
Bruno Silva,0,0,0,0,"6'0""",185lbs.,--,,"Jul13,1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Holly Holm,7,5,0,0,"5'8""",135lbs.,"69""",Southpaw,"Oct17,1981",3.16,38%,2.80,57%,0.81,30%,76%,0.1
Irene Aldana,5,4,0,0,"5'9""",135lbs.,"68""",Orthodox,"Mar26,1988",5.52,38%,5.97,61%,0.23,50%,84%,0.1
Carlos Felipe,1,1,0,0,"6'0""",245lbs.,"75""",Orthodox,"Jan12,1995",4.07,40%,4.03,51%,0.00,0%,62%,0.0
Yorgan De Castro,2,2,0,0,"6'0""",250lbs.,"74""",Orthodox,"Dec19,1986",2.61,44%,3.90,55%,0.00,0%,75%,0.0
Germaine de Randamie,9,3,0,0,"5'9""",135lbs.,"71""",Orthodox,"Apr24,1984",2.72,46%,2.14,65%,0.00,0%,69%,0.4
Julianna Pena,5,2,0,0,"5'6""",135lbs.,"69""",Orthodox,"Aug19,1989",2.80,47%,1.73,51%,2.73,51%,28%,0.8
Kyler Phillips,3,0,0,0,"5'8""",135lbs.,"72""",Orthodox,"Jun12,1995",6.28,49%,2.05,66%,2.79,66%,71%,0.7
Cameron Else,0,1,0,0,"5'9""",135lbs.,"71""",Switch,"Apr27,1987",1.92,36%,5.58,58%,0.00,0%,0%,0.0
Dusko Todorovic,2,0,0,0,"6'1""",185lbs.,"74""",Orthodox,"May19,1994",8.04,67%,5.25,44%,0.65,6%,0%,0.0
Dequan Townsend,0,4,0,0,"6'3""",205lbs.,"79""",Orthodox,"May11,1986",1.23,34%,3.92,38%,0.00,0%,46%,0.0
Carlos Condit,13,10,0,0,"6'2""",170lbs.,"75""",Orthodox,"Apr26,1984",3.69,39%,2.52,57%,0.55,55%,36%,1.1
Court McGee,8,9,0,0,"5'11""",170lbs.,"75""",Orthodox,"Dec12,1984",4.90,36%,3.94,61%,1.60,21%,63%,0.4
Charles Jourdain,1,2,0,1,"5'9""",145lbs.,"69""",Switch,"Nov27,1995",4.13,43%,3.85,60%,0.00,0%,47%,0.8
Josh Culibao,0,1,0,1,"5'10""",155lbs.,"73""",Orthodox,"May24,1994",2.52,38%,4.30,48%,0.00,0%,100%,0.0
Nassourdine Imavov,1,0,0,0,"6'3""",185lbs.,"75""",Orthodox,"Mar01,1995",4.53,61%,2.00,69%,1.00,12%,100%,4.0
Jordan Williams,1,2,1,0,"6'1""",185lbs.,"75""",Southpaw,"Oct13,1990",6.07,51%,5.77,35%,0.98,50%,88%,0.0
Loma Lookboonmee,2,1,0,0,"5'1""",115lbs.,"61""",Orthodox,"Jan18,1996",5.16,55%,3.09,59%,0.67,25%,72%,0.0
Jinh Yu Frey,0,2,0,0,"5'3""",115lbs.,"65""",Southpaw,"May20,1985",1.90,48%,4.05,42%,0.55,25%,83%,0.0
Heili Alateng,2,1,0,0,"5'5""",135lbs.,"66""",Orthodox,"Dec14,1991",2.87,32%,5.82,57%,2.33,35%,100%,0.0
Luigi Vendramini,1,1,0,0,"5'8""",170lbs.,"73""",Orthodox,"Jan16,1996",2.26,42%,2.26,59%,0.00,0%,0%,2.0
Jessin Ayari,1,3,0,0,"6'0""",155lbs.,"73""",Orthodox,"May31,1992",3.53,37%,3.59,58%,0.00,0%,50%,0.3
Israel Adesanya,9,0,0,0,"6'4""",185lbs.,"80""",Switch,"Jul22,1989",4.10,50%,2.33,65%,0.00,0%,86%,0.3
Paulo Costa,5,1,0,0,"6'1""",185lbs.,"72""",Orthodox,"Apr21,1991",7.03,57%,6.70,50%,0.00,0%,80%,0.0
Jan Blachowicz,10,5,0,0,"6'2""",205lbs.,"78""",Orthodox,"Feb24,1983",3.49,48%,2.74,54%,1.10,52%,65%,0.2
Dominick Reyes,6,2,0,0,"6'4""",205lbs.,"77""",Southpaw,"Dec26,1989",4.53,48%,3.16,49%,0.20,16%,82%,0.2
Brandon Royval,2,0,0,0,"5'9""",125lbs.,"68""",Southpaw,"Aug16,1992",3.90,52%,2.77,44%,1.06,100%,63%,3.2
Kai Kara-France,4,2,0,0,"5'4""",125lbs.,"69""",Orthodox,"Mar26,1993",5.16,39%,4.00,66%,0.56,23%,90%,0.0
Ketlen Vieira,5,1,0,0,"5'8""",135lbs.,"68""",Orthodox,"Aug26,1991",3.10,36%,3.98,56%,2.02,52%,92%,0.6
Sijara Eubanks,4,3,0,0,"5'4""",135lbs.,"67""",Orthodox,"Apr27,1985",4.70,42%,3.34,60%,1.86,46%,61%,0.4
Hakeem Dawodu,5,1,0,0,"5'8""",145lbs.,"73""",Orthodox,"Jul02,1991",5.15,47%,2.31,63%,0.00,0%,85%,0.0
Zubaira Tukhugov,4,2,0,1,"5'8""",145lbs.,"68""",Orthodox,"Jan15,1991",2.54,38%,2.53,63%,2.54,46%,100%,0.0
Brad Riddell,3,0,0,0,"5'7""",155lbs.,"71""",Orthodox,"Sep30,1991",4.36,50%,2.62,53%,1.00,37%,60%,0.0
Alex Da Silva,1,2,0,0,"5'8""",155lbs.,"73""",Orthodox,"Feb04,1996",2.07,46%,2.65,55%,2.75,43%,77%,0.4
Jake Matthews,10,4,0,0,"5'11""",170lbs.,"73""",Orthodox,"Aug19,1994",3.15,46%,2.12,63%,2.09,41%,70%,0.7
Diego Sanchez,22,13,0,0,"5'10""",170lbs.,"72""",Southpaw,"Dec31,1981",2.69,37%,3.02,56%,1.51,24%,46%,0.8
Ludovit Klein,1,0,0,0,"5'7""",155lbs.,"72""",Southpaw,"Feb22,1995",7.11,69%,3.16,42%,0.00,0%,0%,0.0
Shane Young,2,2,0,0,"5'8""",145lbs.,"72""",Orthodox,"Jul31,1993",6.01,40%,5.15,56%,0.73,25%,64%,0.0
William Knight,3,0,0,0,"5'10""",205lbs.,"73""",Orthodox,"Apr03,1988",4.69,76%,2.88,33%,3.76,66%,63%,0.5
Aleksa Camur,2,1,0,0,"6'1""",205lbs.,"74""",Orthodox,"Sep25,1995",3.94,54%,2.49,57%,0.84,33%,20%,0.0
Juan Espino,2,0,0,0,"6'3""",250lbs.,"80""",,"Oct09,1980",4.32,80%,0.54,42%,14.19,77%,0%,6.1
Jeff Hughes,1,3,1,0,"6'2""",250lbs.,"77""",Orthodox,"May17,1988",3.95,51%,3.67,60%,0.71,50%,45%,0.0
Danilo Marques,1,0,0,0,"6'6""",205lbs.,"77""",Orthodox,"Dec26,1985",1.07,72%,1.27,58%,4.00,25%,0%,0.0
Khadis Ibragimov,0,4,0,0,"6'3""",205lbs.,"78""",Orthodox,"May21,1995",3.55,49%,4.26,47%,0.97,30%,80%,0.3
Colby Covington,11,2,0,0,"5'11""",170lbs.,"72""",Orthodox,"Feb22,1988",4.12,38%,2.86,55%,4.61,50%,75%,0.1
Tyron Woodley,17,6,0,1,"5'9""",170lbs.,"74""",Orthodox,"Apr07,1982",2.33,48%,2.72,55%,1.08,40%,87%,0.4
Donald Cerrone,29,15,1,1,"6'1""",155lbs.,"73""",Orthodox,"Mar29,1983",4.43,46%,4.46,53%,1.19,33%,73%,1.2
Niko Price,6,4,1,1,"6'0""",170lbs.,"76""",Orthodox,"Sep29,1989",5.33,41%,5.83,49%,0.89,22%,72%,0.9
Khamzat Chimaev,3,0,0,0,"6'2""",170lbs.,"75""",Orthodox,"May01,1994",9.03,72%,0.10,66%,4.67,75%,0%,3.1
Gerald Meerschaert,6,6,0,0,"6'1""",185lbs.,"77""",Southpaw,"Dec18,1987",3.30,42%,3.61,51%,2.33,43%,46%,1.7
Johnny Walker,5,2,0,0,"6'6""",205lbs.,"82""",Orthodox,"Mar30,1992",4.41,72%,3.51,31%,0.40,100%,60%,1.2
Ryan Spann,5,2,0,0,"6'5""",205lbs.,"79""",Orthodox,"Aug24,1991",3.27,44%,3.43,46%,1.76,41%,60%,1.8
Mackenzie Dern,4,1,0,0,"5'4""",115lbs.,"63""",Orthodox,"Mar24,1993",3.07,33%,3.66,64%,0.39,7%,0%,3.1
Randa Markos,6,8,0,1,"5'4""",115lbs.,"63""",Orthodox,"Aug10,1985",2.92,41%,3.30,59%,1.32,28%,58%,0.2
Darren Stewart,5,5,1,0,"6'0""",185lbs.,"74""",Orthodox,"Dec30,1990",3.08,44%,2.82,52%,1.56,40%,66%,0.1
David Dvorak,2,0,0,0,"5'5""",125lbs.,"68""",Orthodox,"Jun05,1992",4.50,48%,3.17,63%,0.00,0%,75%,0.0
Jordan Espinosa,4,3,0,0,"5'6""",125lbs.,"69""",Orthodox,"Nov08,1989",4.99,53%,3.23,58%,0.92,28%,90%,0.2
Damon Jackson,1,1,1,1,"5'11""",145lbs.,"71""",Switch,"Aug08,1988",2.20,36%,3.05,43%,1.22,20%,35%,2.9
Mirsad Bektic,6,4,0,0,"5'8""",145lbs.,"70""",Orthodox,"Feb16,1991",2.43,41%,1.80,57%,3.98,52%,92%,0.4
Mayra Bueno Silva,3,1,0,0,"5'6""",135lbs.,"66""",Orthodox,"Aug22,1991",4.44,53%,6.74,44%,0.00,0%,71%,1.9
Mara Romero Borella,2,5,0,0,"5'6""",125lbs.,"69""",Orthodox,"Jun03,1986",2.54,37%,2.48,71%,1.83,44%,66%,0.2
Jessica-Rose Clark,3,2,0,0,"5'5""",125lbs.,"64""",Orthodox,"Nov28,1987",4.68,51%,3.98,60%,1.01,55%,73%,0.4
Sarah Alpar,1,1,0,0,"5'4""",135lbs.,"63""",Southpaw,"Jun01,1991",2.11,54%,4.76,32%,2.69,28%,50%,0.7
Darrick Minner,1,2,0,0,"5'7""",145lbs.,"69""",Orthodox,"Apr28,1990",3.61,65%,2.00,45%,1.50,33%,50%,4.5
TJ Laramie,1,1,0,0,"5'6""",145lbs.,"66""",Orthodox,"Oct15,1997",2.73,51%,3.24,26%,2.56,50%,0%,0.0
Randy Costa,2,1,0,0,"5'9""",135lbs.,"73""",Switch,"Jul06,1994",7.88,47%,5.26,58%,0.00,0%,100%,0.0
Journey Newson,0,2,1,0,"5'5""",135lbs.,"67""",Orthodox,"Mar07,1989",2.76,32%,2.76,65%,0.00,0%,0%,0.9
Andre Ewell,4,2,0,0,"5'8""",135lbs.,"75""",Southpaw,"Jan21,1988",4.50,41%,4.20,54%,0.17,50%,73%,0.0
Irwin Rivera,1,2,0,0,"5'6""",135lbs.,"67""",Southpaw,"Feb14,1989",3.36,44%,5.07,57%,1.00,16%,70%,0.0
Tyson Nam,2,2,0,0,"5'7""",125lbs.,"68""",Orthodox,"Oct06,1983",3.55,32%,5.71,65%,0.00,0%,100%,0.0
Jerome Rivera,1,1,0,0,"5'10""",135lbs.,"72""",Southpaw,"Apr22,1995",3.79,42%,2.67,55%,0.00,0%,50%,0.0
Michelle Waterson,8,4,0,0,"5'3""",115lbs.,"62""",Orthodox,"Jan06,1986",3.58,49%,4.00,49%,1.52,34%,67%,0.9
Angela Hill,7,9,0,0,"5'3""",115lbs.,"64""",Orthodox,"Jan12,1985",5.70,49%,5.16,63%,0.41,37%,77%,0.1
Ottman Azaitar,2,0,0,0,"5'8""",155lbs.,"71""",Switch,"Feb20,1990",8.43,57%,1.76,67%,0.00,0%,100%,0.0
Khama Worthy,2,1,0,0,"5'11""",155lbs.,"74""",Orthodox,"Oct15,1986",4.12,47%,3.69,45%,0.00,0%,57%,0.8
Roxanne Modafferi,4,7,0,0,"5'7""",125lbs.,"69""",Orthodox,"Sep24,1982",3.14,31%,4.96,53%,1.55,25%,36%,0.1
Andrea Lee,3,3,0,0,"5'6""",125lbs.,"69""",Orthodox,"Feb11,1989",5.58,49%,3.83,65%,1.67,45%,57%,0.5
Ed Herman,13,11,1,0,"6'1""",205lbs.,"77""",Orthodox,"Oct02,1980",3.32,49%,3.35,43%,2.21,48%,60%,1.2
Mike Rodriguez,3,3,1,0,"6'4""",205lbs.,"82""",Southpaw,"Nov28,1988",5.19,59%,3.47,44%,0.00,0%,40%,0.0
Alan Patrick,5,3,0,0,"5'11""",155lbs.,"74""",Southpaw,"Jul19,1983",1.79,40%,2.64,43%,3.48,38%,50%,0.3
Billy Quarantillo,4,0,0,0,"5'10""",145lbs.,"70""",Orthodox,"Dec08,1988",7.51,71%,3.45,46%,1.71,38%,66%,2.4
Kyle Nelson,1,3,0,0,"5'11""",155lbs.,"71""",Switch,"Apr20,1991",3.63,41%,6.82,47%,0.96,12%,60%,1.9
Julia Avila,2,1,0,0,"5'7""",135lbs.,"68""",Orthodox,"May11,1988",3.10,41%,2.90,54%,0.49,50%,60%,0.0
Kevin Croom,1,0,0,0,"5'11""",155lbs.,"73""",Orthodox,"Jul15,1987",9.68,83%,3.87,60%,0.00,0%,100%,29.0
Roosevelt Roberts,5,3,0,0,"6'2""",155lbs.,"73""",Orthodox,"Feb11,1994",3.03,49%,2.27,52%,1.75,53%,58%,1.1
Alexandr Romanov,1,0,0,0,"6'2""",262lbs.,"75""",Southpaw,"Dec11,1990",5.87,37%,0.75,53%,6.41,100%,0%,3.2
Roque Martinez,0,1,0,0,"5'10""",250lbs.,"72""",Orthodox,"Mar04,1986",0.75,46%,5.87,62%,0.00,0%,0%,0.0
Jalin Turner,4,2,0,0,"6'3""",155lbs.,"77""",Southpaw,"May18,1995",6.20,47%,4.37,45%,0.71,66%,78%,1.8
